名称,種類,所在地,関連URL,写真,回収地区,回収日,回収品目,その他情報,コメント,経度,緯度
光丘 17,総合,大和市深見3594,,,回収地区8,A資源-毎月2･4回目火<BR>B資源-毎月1･3回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,111-B-3,139.4728625,35.4601889
さくら  2,総合,大和市柳橋2-22  わかば緑地,,,回収地区7,A資源-毎月1・3回目火<br>B資源-毎月2・4回目火<br>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,115-F-5,139.4663182,35.4547629
さくら  1,総合,大和市柳橋4-5050  引地台中学校東側,,,回収地区7,A資源-毎月1・3回目火<br>B資源-毎月2・4回目火<br>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,115-E-8,139.4655906,35.4536171
さつき会  1,総合,大和市下鶴間1943  目黒公園,,,回収地区4,A資源-毎月2・4回目月<BR>B資源-毎月1・3回目月<BR>容器包装プラ-毎週水,A資源、B資源、容器包装プラ,,033-F-8,139.4658832,35.4987081
つきみ野  7,総合,大和市つきみ野1-12  つきみ野5号公園東南側,,,回収地区2,A資源-毎月2・4回目木<BR>B資源-毎月1・3回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,033-A-2,139.4631612,35.5013573
つきみ野  1,総合,大和市つきみ野1-1-40,,,回収地区2,A資源-毎月2・4回目木<BR>B資源-毎月1・3回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,031-H-5,139.4582529,35.5003229
つきみ野  2,総合（B）,大和市つきみ野1-4-25  メーラつきみ野II,,,回収地区2,B資源-毎月1・3回目木,B資源のみ,A資源・容器包装プラの回収はありません,032-B-2,139.4591035,35.5012825
つきみ野  6,総合（B）,大和市つきみ野1-8-5,,,回収地区2,B資源-毎月1・3回目木,B資源のみ,A資源・容器包装プラの回収はありません,032-G-2,139.4618591,35.5012438
つきみ野  9,総合,大和市つきみ野2-9  PCデポ駐車場,,,回収地区2,A資源ｰ毎月2・4回目木　B資源-毎月1・3回目木　容器包装プラｰ毎週火,A資源、B資源、容器包装プラ,,023-E-8,139.4653952,35.5031055
つきみ野  12,総合,大和市つきみ野3-16  つきみ野4号公園,,,回収地区2,A資源-毎月2・4回目木<BR>B資源-毎月1・3回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,022-D-7,139.4603105,35.5034654
つきみ野  11,総合,大和市つきみ野3-30-1,,,回収地区2,A資源-毎月2・4回目木<BR>B資源-毎月1・3回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,022-G-9,139.4620038,35.502575
つきみ野  17,総合（B）,大和市つきみ野3-9-18,,,回収地区2,B資源-毎月1・3回目木,B資源のみ,A資源・容器包装プラの回収はありません,022-C-3,139.4597923,35.5051154
つきみ野  14,総合,大和市つきみ野4-4  つきみ野8号公園,,,回収地区2,A資源-毎月2・4回目木<BR>B資源-毎月1・3回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,022-H-3,139.4626414,35.5054207
つきみ野  10,総合,大和市つきみ野4-9-25,,,回収地区2,A資源-毎月2・4回目木<BR>B資源-毎月1・3回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,023-B-5,139.4635148,35.5042946
つきみ野  25,総合（B）,大和市つきみ野5-15  リーデンスクエア,,,回収地区2,B資源-毎月1・3回目木,B資源のみ,A資源・容器包装プラの回収はありません,012-F-6,139.4617551,35.5083098
つきみ野  18,総合,大和市つきみ野5-7-3  つきみ野自治会館,,,回収地区2,A資源-毎月2・4回目木<BR>B資源-毎月1・3回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,012-B-10,139.4592496,35.5067388
つきみ野  19,総合（B）,大和市つきみ野6-1-72  駐車場,,,回収地区2,B資源-毎月1・3回目木,B資源のみ,A資源・容器包装プラの回収はありません,011-E-5,139.4564485,35.5088723
つきみ野  20,総合（B）,大和市つきみ野6-2  つきみ野6号公園,,,回収地区2,B資源-毎月1・3回目木,B資源のみ,A資源・容器包装プラの回収はありません,011-E-4,139.4562864,35.5094972
つきみ野  21,総合（B）,大和市つきみ野6-4-3,,,回収地区2,B資源-毎月1・3回目木,B資源のみ,A資源・容器包装プラの回収はありません,011-D-1,139.4559615,35.5109401
つきみ野  22,総合（B）,大和市つきみ野6-8-25,,,回収地区2,B資源-毎月1・3回目木,B資源のみ,A資源・容器包装プラの回収はありません,011-H-6,139.4580207,35.5086293
つきみ野  24,総合,大和市つきみ野7-1,,,回収地区2,A資源-毎月2・4回目木<BR>B資源-毎月1・3回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,012-A-5,139.4587512,35.5091829
つきみ野  28,総合,大和市つきみ野7-15  さくらの散歩道広場,,,回収地区2,A資源-毎月2・4回目木<BR>B資源-毎月1・3回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,005-H-9,139.4584029,35.511483
つきみ野  23,総合,大和市つきみ野7-3-2  つるの舞の里歴史資料館,,,回収地区2,A資源-毎月2・4回目木<BR>B資源-毎月1・3回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,011-F-2,139.4573473,35.5104879
つきみ野  29,総合（B）,大和市つきみ野8-11  つきみ野2号公園北東側,,,回収地区2,B資源-毎月1・3回目木,B資源のみ,A資源・容器包装プラの回収はありません,005-F-5,139.4570098,35.5135736
つきみ野  30,総合,大和市つきみ野8-11  つきみ野2号公園北西側,,,回収地区2,A資源-毎月2・4回目木<br>B資源-毎月1・3回目木<br>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,005-E-5,139.4564844,35.5134301
つきみ野  48,総合,大和市つきみ野8-14-43  清光ヒルズ,,,回収地区2,A資源-毎月2・4回目木<BR>B資源-毎月1・3回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,005-G-3,139.4575831,35.5141934
つきみ野  31,総合,大和市つきみ野8-2-1,,,回収地区2,A資源-毎月2・4回目木<br>B資源-毎月1・3回目木<br>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,005-C-9,139.4555179,35.5118999
つきみ野  32,総合,大和市つきみ野8-5-10,,,回収地区2,A資源-毎月2・4回目木<BR>B資源-毎月1・3回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,005-B-3,139.4548289,35.514368
ふかみ会  1,総合,大和市深見台2-12-16  深見小学校,,,回収地区8,A資源-毎月2・4回目火<BR>B資源-毎月1・3回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,105-C-3,139.4734492,35.4648961
坊の窪  3,総合,大和市深見2047,,,回収地区8,A資源-毎月2・4回目火<BR>B資源-毎月1・3回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,112-B-6,139.472399,35.4724685
むさしの会  2,総合,大和市上草柳9-19  子安3号公園,,,回収地区5,A資源-毎月1・3回目水<BR>B資源-毎月2・4回目水<BR>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,073-C-3,139.4466574,35.4786138
むさしの会  1,総合,大和市上草柳9-5-2  レオパレス鶴間台13,,,回収地区5,A資源-毎月1・3回目水<BR>B資源-毎月2・4回目水<BR>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,073-D-5,139.4473326,35.4773699
若葉会  7,総合,大和市柳橋2-24-4  山口荘,,,回収地区7,A資源-毎月1・3回目火<BR>B資源-毎月2・4回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,115-A-6,139.463263,35.4544299
旭ヶ丘  4,総合,大和市渋谷1-5-6  (株)マルキンジャパン,,,回収地区10,A資源-毎月2・4回目金<br>B資源-毎月1・3回目金<br>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,144-D-10,139.4695755,35.4343863
旭ヶ丘  6,総合,大和市渋谷2-4-2  鳶片岡置場,,,回収地区10,A資源-毎月2・4回目金<br>B資源-毎月1・3回目金<br>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,144-B-10,139.4680514,35.434672
旭ヶ丘  3,総合,大和市渋谷1-9-21  渋谷ココビル前線路側,,,回収地区10,A資源-毎月2・4回目金<BR>B資源-毎月1・3回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,152-B-1,139.4682088,35.4341785
旭ヶ丘  1,総合,大和市渋谷1-3-9  旭ヶ丘自治会館,,,回収地区10,A資源-毎月2・4回目金<BR>B資源-毎月1・3回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,144-C-9,139.4690393,35.4351606
旭ヶ丘  5,総合,大和市渋谷1-6-7  イオン第4駐車場,,,回収地区10,A資源-毎月2・4回目金<BR>B資源-毎月1・3回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,152-D-3,139.4695376,35.4335806
旭ヶ丘  2,総合,大和市渋谷2-19  札の辻2号公園南側,,,回収地区10,A資源-毎月2・4回目金<BR>B資源-毎月1・3回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,151-G-2,139.4670085,35.4340083
慰霊塔公園  3,総合,大和市上草柳8-28-2,,,回収地区5,A資源-毎月1・3回目水<br>B資源-毎月2・4回目水<br>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,064-F-8,139.4528293,35.4803804
慰霊塔公園  6,総合,大和市上草柳8-28-22,,,回収地区5,A資源-毎月1・3回目水<BR>B資源-毎月2・4回目水<BR>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,064-F-8,139.4524766,35.4806389
慰霊塔公園  1,総合,大和市西鶴間4-2  慰霊塔公園,,,回収地区5,A資源-毎月1・3回目水<br>B資源-毎月2・4回目水<br>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,064-E-2,139.4523921,35.4830938
慰霊塔公園  2,総合,大和市西鶴間4-8-30,,,回収地区5,A資源-毎月1・3回目水<BR>B資源-毎月2・4回目水<BR>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,064-D-6,139.4520345,35.4814398
慰霊塔公園  5,総合,大和市西鶴間4-7-28  慰霊塔公園自治会館,,,回収地区5,A資源-毎月1・3回目水<BR>B資源-毎月2・4回目水<BR>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,064-C-4,139.4511531,35.4823105
一之関  10,総合,大和市深見503-3  緊急保護センター,,,回収地区6,A資源-毎月2・4回目水<br>B資源-毎月1・3回目水<br>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,060-D-10,139.4693311,35.4843003
一之関  11,総合,大和市深見西7-5-1　大和中学校南側歩道,,,回収地区6,A資源-毎月2・4回目水<br>B資源-毎月1・3回目水<br>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,066-D-3,139.4605689,35.4826485
一之関  1,総合,大和市深見400,,,回収地区6,A資源-毎月2・4回目水<br>B資源-毎月1・3回目水<br>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,060-H-5,139.4712842,35.4865743
一之関  2,総合,大和市深見486  一之関自治会館,,,回収地区6,A資源-毎月2・4回目水<BR>B資源-毎月1・3回目水<BR>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,060-C-6,139.4688678,35.4860073
千本桜  3,総合,大和市福田3375  福田6号橋,,,回収地区9,A資源-毎月1・3回目金<BR>B資源-毎月2・4回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,142-H-6,139.4631238,35.4366159
千本桜  4,総合,大和市福田3401  福田5号橋,,,回収地区9,A資源-毎月1・3回目金<BR>B資源-毎月2・4回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,143-C-4,139.4644633,35.4372817
千本桜  1,総合,大和市福田3610  田中4号公園,,,回収地区9,A資源-毎月1・3回目金<br>B資源-毎月2・4回目金<br>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,150-E-2,139.4610638,35.4339037
千本桜  6,総合,大和市福田3755  田中3号公園,,,回収地区9,A資源-毎月1・3回目金<BR>B資源-毎月2・4回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,142-F-9,139.4616287,35.4349423
資源回収扇野  1,総合,大和市上草柳460  サンプロト（株）,,,回収地区5,A資源-毎月1・3回目水<BR>B資源-毎月2・4回目水<BR>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,080-A-2,139.4412689,35.4742236
善光明  3,総合,大和市渋谷1-16-6,,,回収地区10,A資源-毎月2・4回目金<BR>B資源-毎月1・3回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,144-B-6,139.4684713,35.4363172
善光明  4,総合,大和市上和田1822-22  平田自動車,,,回収地区10,A資源-毎月2・4回目金<BR>B資源-毎月1・3回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,136-D-8,139.4698163,35.4401099
善光明  8,総合,大和市福田2369-2  ロイヤルステージ桜ヶ丘,,,回収地区10,A資源-毎月2・4回目金<BR>B資源-毎月1・3回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,136-D-10,139.4693233,35.4388791
善光明  7,総合,大和市福田2382  ダイアパレスアンジェロ桜ヶ丘,,,回収地区10,A資源-毎月2・4回目金<BR>B資源-毎月1・3回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,136-D-7,139.4695966,35.4404285
善光明  1,総合,大和市福田4-16  善光明会館,,,回収地区10,A資源-毎月2・4回目金<br>B資源-毎月1・3回目金<br>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,143-F-3,139.4665552,35.4378847
善光明  2,総合,大和市福田4-4  4号公園,,,回収地区10,A資源-毎月2・4回目金<br>B資源-毎月1・3回目金<br>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,144-A-3,139.467656,35.4376104
善光明  9,総合,大和市福田4-7-4,,,回収地区10,A資源-毎月2・4回目金<BR>B資源-毎月1・3回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,144-A-6,139.4677104,35.4362604
相鉄上和田第一  1,総合,大和市上和田1244  宮久保一号公園,,,回収地区10,A資源-毎月2・4回目金<BR>B資源-毎月1・3回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,124-H-9,139.4806187,35.4486251
相鉄上和田第一  2,総合,大和市上和田441-3　バザール商店会内,,,回収地区10,A資源-毎月2・4回目金<BR>B資源-毎月1・3回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,124-D-4,139.478454,35.4507768
相鉄上和田第三  1,総合,大和市上和田432-7  第一・第三自治会館向かい,,,回収地区10,A資源-毎月2・4回目金<br>B資源-毎月1・3回目金<br>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,118-A-9,139.4766172,35.4529967
相鉄上和田第三  2,総合,大和市上和田606,,,回収地区10,A資源-毎月2・4回目金<BR>B資源-毎月1・3回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,124-C-3,139.4776663,35.4511871
相鉄上和田第四  1,総合,大和市上和田185  上和田第4自治会館前,,,回収地区10,A資源-毎月2・4回目金<BR>B資源-毎月1・3回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,117-F-5,139.4750782,35.4549842
相模大塚北  5,総合,大和市桜森3-11  桜森いこいポケットパーク,,,回収地区5,A資源-毎月1・3回目水<BR>B資源-毎月2・4回目水<BR>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,087-H-5,139.4405917,35.4684182
相模大塚北  4,総合,大和市桜森3-15-6,,,回収地区5,A資源-毎月1・3回目水<BR>B資源-毎月2・4回目水<BR>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,088-C-1,139.4422689,35.4700375
相模大塚北  3,総合,大和市桜森3-6-21,,,回収地区5,A資源-毎月1・3回目水<BR>B資源-毎月2・4回目水<BR>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,088-E-3,139.4432441,35.4691995
相模大塚北  1,総合,大和市桜森3-8-20  サイクルパーク中喜,,,回収地区5,A資源-毎月1・3回目水<br>B資源-毎月2・4回目水<br>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,088-E-6,139.44323,35.4679189
相模大塚北  2,総合,大和市桜森3-9  桜森わいわい広場,,,回収地区5,A資源-毎月1・3回目水<BR>B資源-毎月2・4回目水<BR>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,088-C-4,139.4423171,35.468619
草柳  3,総合,大和市草柳1-11  草柳2号公園,,,回収地区7,A資源-毎月1・3回目火<br>B資源-毎月2・4回目火<br>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,107-H-3,139.4586623,35.4606487
草柳  2,総合,大和市草柳1-22  横浜グランド,,,回収地区7,A資源-毎月1・3回目火<br>B資源-毎月2・4回目火<br>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,101-F-9,139.4571832,35.4622925
草柳  9,総合,大和市草柳1-22-1  テニスコート駐車場,,,回収地区7,A資源-毎月1・3回目火<BR>B資源-毎月2・4回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,101-E-4,139.4568008,35.4642938
草柳  1,総合,大和市草柳1-3  藤和シティホームズ大和パークサイドビュー,,,回収地区7,A資源-毎月1・3回目火<BR>B資源-毎月2・4回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,101-H-6,139.4583386,35.463351
草柳  10,総合,大和市草柳1-6,,,回収地区7,A資源-毎月1・3回目火<br>B資源-毎月2・4回目火<br>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,102-B-10,139.4595407,35.4617244
草柳  8,総合,大和市草柳1-9-14,,,回収地区7,A資源-毎月1・3回目火<br>B資源-毎月2・4回目火<br>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,102-A-10,139.4589546,35.4615464
草柳  5,総合,大和市草柳2-16  草柳2号橋,,,回収地区7,A資源-毎月1・3回目火<br>B資源-毎月2・4回目火<br>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,108-C-10,139.4600435,35.4572063
草柳  4,総合,大和市草柳2-19-6  市川アパート,,,回収地区7,A資源-毎月1・3回目火<BR>B資源-毎月2・4回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,108-C-6,139.460332,35.4590258
草柳  7,総合,大和市草柳2-19-4,,,回収地区7,A資源-毎月1・3回目火<br>B資源-毎月2・4回目火<br>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,108-C-8,139.4602839,35.4581912
草柳  6,総合,大和市草柳2-24 草柳3号橋,,,回収地区7,A資源-毎月1・3回目火<BR>B資源-毎月2・4回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,108-C-4,139.4598176,35.4598158
代官庭  6,総合,大和市代官1-11-11  （株）ニッコー,,,回収地区9,A資源-毎月1・3回目金<BR>B資源-毎月2・4回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,134-D-8,139.4605945,35.4403805
代官庭  4,総合,大和市代官2-3  代官2丁目公園南側出入り口付近,,,回収地区9,A資源-毎月1・3回目金<BR>B資源-毎月2・4回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,134-D-10,139.4608088,35.4391017
代官庭  9,総合,大和市代官1-15-2　サンピア小田急桜ケ丘,,,回収地区9,A資源-毎月1・3回目金<BR>B資源-毎月2・4回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,142-H-1,139.4631548,35.4387186
代官庭  5,総合,大和市代官1-4  代官一丁目公園,,,回収地区9,A資源-毎月1・3回目金<br>B資源-毎月2・4回目金<br>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,134-F-6,139.4618989,35.4408784
代官庭  2,総合,大和市福田6-4-10,,,回収地区9,A資源-毎月1・3回目金<br>B資源-毎月2・4回目金<br>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,135-C-10,139.4648482,35.4389037
代官庭  1,総合,大和市福田6-2-1  八幡山公園西側,,,回収地区9,A資源-毎月1・3回目金<br>B資源-毎月2・4回目金<br>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,135-A-7,139.4637284,35.4406943
大東  1,総合,大和市上草柳1-1  大和市営スポーツセンタープール西側,,,回収地区7,A資源-毎月1・3回目火<BR>B資源-毎月2・4回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,084-C-9,139.4602248,35.4708231
大東  2,総合,大和市上草柳2-13  上田荘隣り,,,回収地区7,A資源-毎月1・3回目火<BR>B資源-毎月2・4回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,091-F-1,139.457267,35.4702557
大東  3,総合,大和市上草柳2-14  大東公園,,,回収地区7,A資源-毎月1・3回目火<BR>B資源-毎月2・4回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,083-E-9,139.4568544,35.4708755
大東  4,総合,大和市上草柳3-4,,,回収地区7,A資源-毎月1・3回目火<br>B資源-毎月2・4回目火<br>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,083-D-6,139.4561977,35.4723222
大和原  5,総合,大和市下鶴間2-11  大和原1号公園,,,回収地区6,A資源-毎月2・4回目水<BR>B資源-毎月1・3回目水<BR>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,059-E-3,139.4656635,35.4875698
大和原  4,総合,大和市下鶴間2-2  長堀2号公園西側,,,回収地区6,A資源-毎月2・4回目水<BR>B資源-毎月1・3回目水<BR>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,059-B-4,139.4637399,35.4874388
大和原  3,総合,大和市下鶴間2-3-29  大和原2号公園,,,回収地区6,A資源-毎月2・4回目水<br>B資源-毎月1・3回目水<br>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,059-A-5,139.4634284,35.4864359
大和原  1,総合,大和市下鶴間2-5  大和原自治会館,,,回収地区6,A資源-毎月2・4回目水<BR>B資源-毎月1・3回目水<BR>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,059-D-8,139.4649911,35.4850231
大和原  2,総合,大和市下鶴間2-5-12  公園,,,回収地区6,A資源-毎月2・4回目水<BR>B資源-毎月1・3回目水<BR>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,059-B-7,139.4640292,35.4855359
大和原  7,総合,大和市下鶴間2750-7  ドメス大和,,,回収地区6,A資源-毎月2・4回目水<BR>B資源-毎月1・3回目水<BR>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,059-H-1,139.466971,35.4881677
大和東一丁目  1,総合,大和市大和東1-7-3　公園内,,,回収地区8,A資源-毎月2・4回目火<BR>B資源-毎月1・3回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,093-F-8,139.4662262,35.4671613
大和東三丁目  1,総合（B）,大和市大和東3-2-8  イーストコープ,,,回収地区8,B資源-毎月1・3回目火,B資源のみ,A資源・容器包装プラの回収はありません,093-H-5　R6.4/30廃止,139.4670513,35.4683702
大和東三丁目  4,総合,大和市深見西2-4-2  （有）小林自動車,,,回収地区8,A資源-毎月2・4回目火<BR>B資源-毎月1・3回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,085-D-5,139.4649777,35.4727391
大和東三丁目  2,総合,大和市大和東3-7-11  大和東共同ビル,,,回収地区8,A資源-毎月2・4回目火<br>B資源-毎月1・3回目火<br>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,093-H-3,139.4668995,35.4695018
大和東伸和  1,総合,大和市大和東1-12-20  相模鉄道（株）変電所,,,回収地区8,A資源-毎月2・4回目火<BR>B資源-毎月1・3回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,094-F-7,139.4708772,35.4676326
大和東伸和  2,総合,大和市深見台4-1-16  伸和自治会館,,,回収地区8,A資源-毎月2・4回目火<BR>B資源-毎月1・3回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,094-D-5,139.469334,35.4681782
大和東伸和  4,総合,大和市大和東1-9-20  ホンダカーズ向いプロムナード,,,回収地区8,A資源-毎月2・4回目火<BR>B資源-毎月1・3回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,094-B-9,139.4683481,35.4666288
大和東伸和  5,総合,大和市大和東3-5  駐車場,,,回収地区8,A資源-毎月2・4回目火<br>B資源-毎月1・3回目火<br>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,094-B-3,139.4680347,35.4691239
大和東伸和  3,総合,大和市大和東3-5-10  ロイヤルシティ大和前,,,回収地区8,A資源-毎月2・4回目火<BR>B資源-毎月1・3回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,094-A-2,139.4678819,35.4698149
大和南第一  1,総合,大和市大和南1-7-14  大和南自治会館,,,回収地区8,A資源-毎月2・4回目火<BR>B資源-毎月1・3回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,103-H-1,139.4672764,35.4657646
大和南第三  2,総合,大和市大和南2-8  大和南二丁目公園,,,回収地区8,A資源-毎月2・4回目火<BR>B資源-毎月1・3回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,103-H-7,139.4672121,35.4629539
大和南第三  3,総合,大和市大和南2-8-20  レジデンス光ヶ丘,,,回収地区8,A資源-毎月2・4回目火<BR>B資源-毎月1・3回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,104-B-7,139.4681284,35.4628971
大和南第四  1,総合,大和市大和南2-11  光ヶ丘中学校,,,回収地区8,A資源-毎月2・4回目火<BR>B資源-毎月1・3回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,110-C-2,139.4691304,35.4609418
大和南第二  2,総合,大和市深見台2-3-12  大和自治会館,,,回収地区8,A資源-毎月2・4回目火<BR>B資源-毎月1・3回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,104-G-4,139.4707058,35.4645556
大和南第二  4,総合,大和市大和南1-12 -18  有料駐車場,,,回収地区8,A資源-毎月2・4回目火<BR>B資源-毎月1・3回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,104-B-2,139.4683641,35.4650532
谷戸頭  2,総合,大和市上和田1720  谷戸頭自治会館,,,回収地区10,A資源-毎月2・4回目金<BR>B資源-毎月1・3回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,131-B-5,139.4727794,35.4459715
谷戸頭  1,総合,大和市上和田1686  プリムラホーム向森林地,,,回収地区10,A資源-毎月2・4回目金<BR>B資源-毎月1・3回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,131-E-9,139.4747567,35.4436845
谷戸頭  3,総合,大和市上和田1720  石垣内科付近,,,回収地区10,A資源-毎月2・4回目金<BR>B資源-毎月1・3回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,131-A-8,139.4724472,35.4446359
谷戸頭  4,総合,大和市上和田1694-20,,,回収地区10,A資源-毎月2・4回目金<BR>B資源-毎月1・3回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,131-D-9,139.4738082,35.4441428
大和会  1,総合,大和市中央3-9  やまと家電,,,回収地区7,A資源-毎月1・3回目火<BR>B資源-毎月2・4回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,092-A-2,139.4588263,35.4697887
中央一丁目  2,総合,大和市中央1-5  中央一丁目自治会館,,,回収地区8,A資源-毎月2・4回目火<br>B資源-毎月1・3回目火<br>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,103-D-6,139.4649217,35.4634389
中央五丁目  3,総合,大和市中央5-12-11  中央五丁目自治会館,,,回収地区7,A資源-毎月1・3回目火<br>B資源-毎月2・4回目火<br>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,102-F-9,139.4615646,35.4623225
