名称,種類,所在地,関連URL,写真,回収地区,回収日,回収品目,その他情報,コメント,経度,緯度
上和田  8,総合,大和市上和田1889-4,,,回収地区10,A資源-毎月2・4回目金<BR>B資源-毎月1・3回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,137-F-9,139.474821,35.4398001
上和田  1,総合,大和市上和田2412  上和田団地1-2側公園,,,回収地区10,A資源-毎月2・4回目金<br>B資源-毎月1・3回目金<br>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,153-D-4,139.4740136,35.4329708
上和田  7,総合,大和市上和田2532,,,回収地区10,A資源-毎月2・4回目金<BR>B資源-毎月1・3回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,146-D-2,139.478454,35.4380193
上和田  6,総合,大和市上和田2591  資材置場,,,回収地区10,A資源-毎月2・4回目金<BR>B資源-毎月1・3回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,145-H-3,139.476332,35.4378884
上和田  5,総合,大和市上和田2713  上和田自治会館,,,回収地区10,A資源-毎月2・4回目金<BR>B資源-毎月1・3回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,145-F-7,139.4751425,35.4358065
上和田  19,総合,大和市上和田3472  シャンベール前,,,回収地区10,A資源-毎月2・4回目金<BR>B資源-毎月1・3回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,152-G-1,139.4713916,35.4340214
新道下  1,総合,大和市福田5-17  もみの木保育園裏,,,回収地区9,A資源-毎月1・3回目金<BR>B資源-毎月2・4回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,135-F-10,139.4662905,35.4392196
新道下  2,総合,大和市福田5-22  福田小学校南側,,,回収地区9,A資源-毎月1・3回目金<br>B資源-毎月2・4回目金<br>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,135-D-8,139.4652301,35.4399557
新道下  3,総合,大和市福田5-22  福田小学校北側,,,回収地区9,A資源-毎月1・3回目金<BR>B資源-毎月2・4回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,135-D-6,139.4650045,35.4411138
新道下  12,総合,大和市福田5-25-7  引地川緑地内,,,回収地区9,A資源-毎月1・3回目金<BR>B資源-毎月2・4回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,135-C-3,139.464699,35.4423271
